,1471428001,1471449600,1471471203,1471492804,1471514404,1471536003,1471557602,1471579202,1471600802,1471622402,1471644002,1471665601,1471687201,1471708801,1471730402,1471752001,1471773601,1471795201,1471816801,1471838401,1471860001,1471881601,1471903201,1471924801,1471946401,1471968001,1471989601,1472011201,1472032801,1472054401,1472076001,1472097601,1472119201,1472140801,1472162404,1472184001,1472205601,1472227201,1472248801,1472270401,1472292001,1472313601,1472335201,1472356801,1472378400,1472400001,1472421601,1472443201,1472464801,1472486456,1472508022,1472529610,1472551214,1472572821,1472594426,1472616011,1472637609,1472637609,1472644802,1472652001,1472659209,1472659211,1472666401,1472673601,1472680806,1472680808,1472688001,1472695201,1472702403,1472702404,1472709602,1472716800,1472724017,1472724018,1472731201,1472738402,1472745611,1472752800,1472760002,1472767205,1472774401,1472781600,1472788819,1472796001,1472803201,1472810403,1472817603,1472824815,1472832004,1472839201,1472846401,1472853604,1472860801,1472868004,1472875204,1472882401,1472889601,1472896806,1472904001,1472911200,1472918405,1472925601,1472932800,1472940008,1472947200,1472954400,1472961604,1472968803,1472976000,1472983206,1472990400,1472997600,1473004801,1473012000,1473019200,1473026404,1473033600,1473040801,1473048002,1473055200,1473062400,1473069603,1473076800,1473084000,1473091208,1473098400,1473105600,1473112801,1473120000,1473127201,1473134404,1473141601,1473148800,1473156011,1473170433,1473199227,1473206405,1473213602,1473220810,1473228002,1473235201,1473256803,1473264036,1473271200,1473278402,1473285613,1473292801,1473300002,1473307205,1473314403,1473321606,1473328804,1473336001,1473343200,1473350405,1473357601,1473364801,1473372003,1473379201,1473386401,1473393601,1473400800,1473408000,1473415202,1473422402,1473429605,1473436802,1473444001,1473451200,1473458402,1473465601,1473472800,1473480001,1473487200,1473494400,1473501601,1473508801,1473516000,1473523201,1473530400,1473537600,1473544801,1473552000,1473559200,1473566401,1473573600,1473580800,1473588001,1473595200,1473602400,1473609601,1473616800,1473624000,1473631201,1473638400,1473645600,1473652801,1473660001,1473667200,1473674413,1473681600,1473688800,1473696002,1473703200,1473710400,1473717602,1473724800,1473732000,1473739201,1473746401,1473753600,1473760867,1473768005,1473775204,1473782411,1473789600,1473796801,1473804010,1473811201,1473818400,1473825602,1473832801,1473840000,1473847207,1473854403,1473861600,1473868804,1473876002,1473883201,1473890404,1473897600,1473904800,1473912002,1473919200,1473926400,1473933613,1473940800,1473948000,1473955202,1473962400,1473969602,1473976802,1473984000,1473991200,1473998401,1474005600,1474012800
37.77.56.32/31,"1
","1
",,"1
","1
","1
",,"1
","1
","1
",,"1
","1
",,,"1
","1
","1
","1
","1
","1
",,"1
","1
","1
","1
","1
",,"1
","1
","1
",,"1
",,"1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.77.56.64/26,"1
","1
",,"1
","1
","1
",,"1
","1
","1
",,"1
","1
",,,"1
","1
","1
","1
","1
","1
",,"1
","1
","1
","1
","1
",,"1
","1
","1
",,"1
",,"1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.77.57.32/29,"1
","1
",,"1
","1
","1
",,"1
","1
","1
",,"1
","1
",,,"1
","1
","1
","1
","1
","1
",,,,,,,,"1
","1
","1
",,"1
",,"1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.77.57.64/26,"1
","1
",,"1
","1
","1
",,"1
","1
","1
",,"1
","1
",,,"1
","1
","1
","1
","1
","1
",,"1
","1
","1
","1
","1
",,"1
","1
","1
",,"1
",,"1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.77.57.128/26,"1
","1
",,"1
","1
","1
",,"1
","1
","1
",,"1
","1
",,,"1
","1
","1
","1
","1
","1
",,"1
","1
","1
","1
","1
",,"1
","1
","1
",,"1
",,"1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.77.58.0/26,"1
","1
",,"1
","1
","1
",,"1
","1
","1
",,"1
","1
",,,"1
","1
","1
","1
","1
","1
",,"1
","1
","1
","1
","1
",,"1
","1
","1
",,"1
",,"1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.125.5.0/24,,"4
",,,,,,,"4
","4
",,"4
","4
",,,,"4
",,"4
",,,,,"4
","4
","4
",,,,,"4
",,"4
",,"4
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.227.120.128/30,"2
","2
",,"2
","2
","2
",,,,,,"2
","2
",,,"2
","2
",,"2
",,"2
",,"2
","2
","2
","2
","2
",,"2
","2
",,,,,"2
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.227.120.136/29,"2
","2
",,"2
","2
","2
",,,,"2
",,"2
","2
",,,"2
","2
",,"2
",,"2
",,"2
","2
","2
","2
","2
",,"2
","2
","2
",,,,"2
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
