EID Prefix,Reply Type,Received From,RLOC Addresses,RLOC Priorities,RLOC Weights,RLOC States,New Deployed Changed,Configuration Changed ,Statistical Changed,Recieved From Changed,Received From not RLOCs ,Received From RLOCs ,Received From Map Resolver ,Number of Timestamp,Total Number of Timestamp
0.0.0.0:3,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,220,220,299
128.0.0.0:6,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,75,75,299
132.0.0.0:9,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,50,50,299
132.128.0.0:10,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,56,56,299
132.192.0.0:11,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,34,34,299
132.224.0.0:15,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,25,25,299
132.226.0.0:16,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,40,40,299
132.227.0.0:18,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,18,18,299
132.227.112.0:21,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,13,13,299
132.227.120.128:30,LISP Reply,137.194.18.130,"['137.194.18.130', '2001:660:330f:a100::89c2:1282']","['10', '20']","['100', '100']","['Up', 'Up']",0,0,0,0,0,1,0,1,299
132.227.120.132:30,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.136:29,LISP Reply,137.194.18.130,"['137.194.18.130', '137.194.18.139']","['255', '10']","['100', '100']","['Up', 'Up']",0,0,0,0,0,1,0,1,299
132.227.120.144:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.160:29,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.16:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,4,4,299
132.227.120.176:28,LISP Reply,132.227.62.242,"['132.227.62.242', '2001:660:3302:282c:240::242']","['1', '2']","['100', '100']","['Up', 'Up']",0,0,0,0,0,1,0,1,299
132.227.120.192:28,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.208:29,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.216:29,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.224:29,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.232:29,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.240:29,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.248:29,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,1,1,299
132.227.120.32:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,4,4,299
132.227.120.33:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,4,4,299
132.227.120.34:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,2,2,299
132.227.120.35:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,3,3,299
132.227.120.40:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,3,3,299
132.227.120.41:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,2,2,299
132.227.120.42:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,3,3,299
132.227.120.43:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,3,3,299
132.227.120.44:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,3,3,299
132.227.120.45:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,3,3,299
132.227.120.46:32,Negative Reply,202.51.247.10,[''],[''],[''],[''],0,0,0,0,0,0,3,3,299
